join_day,first_id,last_id
2024-12-24,37175651,37180450
2024-12-25,37180451,37185250
2024-12-26,37185251,37191250
2024-12-27,37191251,37196050
2024-12-28,37196051,37202050
2024-12-29,37202051,37206850
2024-12-30,37206851,37212850
2024-12-31,37212851,37217650
2025-01-01,37217651,37222450
2025-01-02,37222451,37227250
2025-01-03,37227251,37232050
2025-01-04,37232051,37238050
2025-01-05,37238051,37242850
2025-01-06,37242851,37248850
2025-01-07,37248851,37253650
2025-01-08,37253651,37258450
2025-01-09,37258451,37264450
2025-01-10,37264451,37271650
2025-01-11,37271651,37277650
2025-01-12,37277651,37283650
2025-01-13,37283651,37288450
2025-01-14,37288451,37293250
2025-01-15,37293251,37299250
2025-01-16,37299251,37304050
2025-01-17,37304051,37308850
2025-01-18,37308851,37317250
2025-01-19,37317251,37324450
2025-01-20,37324451,37329250
2025-01-21,37329251,37334050
2025-01-22,37334051,37340050
2025-01-23,37340051,37346050
2025-01-24,37346051,37352050
2025-01-25,37352051,37358050
2025-01-26,37358051,37364050
2025-01-27,37364051,37370050
2025-01-28,37370051,37374850
2025-01-29,37374851,37382050
2025-01-30,37382051,37386850
2025-01-31,37386851,37392850
2025-02-01,37392851,37400050
2025-02-02,37400051,37406050
2025-02-03,37406051,37410850
2025-02-04,37410851,37415650
2025-02-05,37415651,37420450
2025-02-06,37420451,37426450
2025-02-07,37426451,37432450
2025-02-08,37432451,37439650
2025-02-09,37439651,37445650
2025-02-10,37445651,37451650
2025-02-11,37451651,37456450
2025-02-12,37456451,37462450
2025-02-13,37462451,37467250
2025-02-14,37467251,37473250
2025-02-15,37473251,37480450
2025-02-16,37480451,37486450
2025-02-17,37486451,37491250
2025-02-18,37491251,37496050
2025-02-19,37496051,37500850
2025-02-20,37500851,37505650
2025-02-21,37505651,37511650
2025-02-22,37511651,37517650
2025-02-23,37517651,37522450
2025-02-24,37522451,37527250
2025-02-25,37527251,37532050
2025-02-26,37532051,37535650
2025-02-27,37535651,37540450
2025-02-28,37540451,37545250
2025-03-01,37545251,37551250
2025-03-02,37551251,37556050
2025-03-03,37556051,37560850
2025-03-04,37560851,37565650
2025-03-05,37565651,37569250
2025-03-06,37569251,37574050
2025-03-07,37574051,37578850
2025-03-08,37578851,37584850
2025-03-09,37584851,37589650
2025-03-10,37589651,37594450
2025-03-11,37594451,37598050
2025-03-12,37598051,37602850
2025-03-13,37602851,37606450
2025-03-14,37606451,37611250
2025-03-15,37611251,37616050
2025-03-16,37616051,37622050
2025-03-17,37622051,37626850
2025-03-18,37626851,37630450
2025-03-19,37630451,37634050
2025-03-20,37634051,37638850
2025-03-21,37638851,37643650
2025-03-22,37643651,37648450
2025-03-23,37648451,37654450
2025-03-24,37654451,37658050
2025-03-25,37658051,37661650
2025-03-26,37661651,37666450
2025-03-27,37666451,37671250
2025-03-28,37671251,37676050
2025-03-29,37676051,37682050
2025-03-30,37682051,37688050
2025-03-31,37688051,37691650
2025-04-01,37691651,37696450
2025-04-02,37696451,37700050
2025-04-03,37700051,37704850
2025-04-04,37704851,37709650
2025-04-05,37709651,37715650
2025-04-06,37715651,37720450
2025-04-07,37720451,37725250
2025-04-08,37725251,37728850
2025-04-09,37728851,37733650
2025-04-10,37733651,37737250
2025-04-11,37737251,37742050
2025-04-12,37742051,37748050
2025-04-13,37748051,37752850
2025-04-14,37752851,37756450
2025-04-15,37756451,37761250
2025-04-16,37761251,37766050
2025-04-17,37766051,37769650
2025-04-18,37769651,37774450
2025-04-19,37774451,37780450
2025-04-20,37780451,37785250
2025-04-21,37785251,37788850
2025-04-22,37788851,37793650
2025-04-23,37793651,37797250
2025-04-24,37797251,37800850
2025-04-25,37800851,37805650
2025-04-26,37805651,37811650
2025-04-27,37811651,37816450
2025-04-28,37816451,37821250
2025-04-29,37821251,37826050
2025-04-30,37826051,37828450
2025-05-01,37828451,37834450
2025-05-02,37834451,37839250
2025-05-03,37839251,37844050
2025-05-04,37844051,37847650
2025-05-05,37847651,37852450
2025-05-06,37852451,37856050
2025-05-07,37856051,37860850
2025-05-08,37860851,37864450
2025-05-09,37864451,37869250
2025-05-10,37869251,37874050
2025-05-11,37874051,37878850
2025-05-12,37878851,37882450
2025-05-13,37882451,37887250
2025-05-14,37887251,37890850
2025-05-15,37890851,37894450
2025-05-16,37894451,37899250
2025-05-17,37899251,37904050
2025-05-18,37904051,37910050
2025-05-19,37910051,37912450
2025-05-20,37912451,37917250
2025-05-21,37917251,37920850
2025-05-22,37920851,37925650
2025-05-23,37925651,37929250
2025-05-24,37929251,37934050
2025-05-25,37934051,37938850
2025-05-26,37938851,37943650
2025-05-27,37943651,37948450
2025-05-28,37948451,37952050
2025-05-29,37952051,37956850
2025-05-30,37956851,37961650
2025-05-31,37961651,37967650
2025-06-01,37967651,37972450
2025-06-02,37972451,37976050
2025-06-03,37976051,37980850
2025-06-04,37980851,37985650
2025-06-05,37985651,37989250
2025-06-06,37989251,37994050
2025-06-07,37994051,37998850
2025-06-08,37998851,38004850
2025-06-09,38004851,38008450
2025-06-10,38008451,38013250
2025-06-11,38013251,38018050
2025-06-12,38018051,38021650
2025-06-13,38021651,38026450
2025-06-14,38026451,38031250
2025-06-15,38031251,38036050
2025-06-16,38036051,38040850
2025-06-17,38040851,38045650
2025-06-18,38045651,38049250
2025-06-19,38049251,38054050
2025-06-20,38054051,38058850
2025-06-21,38058851,38063650
2025-06-22,38063651,38068450
2025-06-23,38068451,38070850
2025-06-24,38070851,38076850
2025-06-25,38076851,38081650
2025-06-26,38081651,38085250
2025-06-27,38085251,38090050
2025-06-28,38090051,38094850
2025-06-29,38094851,38098450
2025-06-30,38098451,38103250
2025-07-01,38103251,38108050
2025-07-02,38108051,38111650
2025-07-03,38111651,38116450
2025-07-04,38116451,38121250
2025-07-05,38121251,38126050
2025-07-06,38126051,38129650
2025-07-07,38129651,38134450
2025-07-08,38134451,38139250
2025-07-09,38139251,38142850
2025-07-10,38142851,38147650
2025-07-11,38147651,38152450
2025-07-12,38152451,38157250
2025-07-13,38157251,38160850
2025-07-14,38160851,38166850
2025-07-15,38166851,38171650
2025-07-16,38171651,38176450
2025-07-17,38176451,38181250
2025-07-18,38181251,38186050
2025-07-19,38186051,38190850
2025-07-20,38190851,38195650
2025-07-21,38195651,38200450
2025-07-22,38200451,38205250
2025-07-23,38205251,38210050
2025-07-24,38210051,38214850
2025-07-25,38214851,38219650
2025-07-26,38219651,38225650
2025-07-27,38225651,38230450
2025-07-28,38230451,38235250
2025-07-29,38235251,38240050
2025-07-30,38240051,38243650
2025-07-31,38243651,38250850
2025-08-01,38250851,38255650
2025-08-02,38255651,38260450
2025-08-03,38260451,38265250
2025-08-04,38265251,38270050
2025-08-05,38270051,38274850
2025-08-06,38274851,38279650
2025-08-07,38279651,38284450
2025-08-08,38284451,38289250
2025-08-09,38289251,38294050
2025-08-10,38294051,38300050
2025-08-11,38300051,38303650
2025-08-12,38303651,38308450
2025-08-13,38308451,38313250
2025-08-14,38313251,38318050
2025-08-15,38318051,38322850
2025-08-16,38322851,38327650
2025-08-17,38327651,38332450
2025-08-18,38332451,38337250
2025-08-19,38337251,38342050
2025-08-20,38342051,38346850
2025-08-21,38346851,38351650
2025-08-22,38351651,38356450
2025-08-23,38356451,38361250
2025-08-24,38361251,38366050
2025-08-25,38366051,38370850
2025-08-26,38370851,38375650
2025-08-27,38375651,38380450
2025-08-28,38380451,38385250
2025-08-29,38385251,38390050
2025-08-30,38390051,38394850
